text,vader,textblob,roberta,bert,cnn,lstm,svm,average_score,sentiment,vader_sentiment,textblob_sentiment,roberta_sentiment,bert_sentiment,cnn_sentiment,lstm_sentiment,svm_sentiment,avg_sentiment,nouncount_,verbcount_
"Since it's a budget phone. There's no wireless  charging, which isn't a deal breaker. But it's also not water proof, which is a deal breaker for me. Camera is mid but no bad. Phone is quick. Overall really surprised but the no waterproof is a no go for me but if you don't mind. It's legit a great phone for a quarter of the price.",0.7914,0.2638888888888889,0.043259383379357086,0.03580527130723665,1.0,3.7234813e-06,1,0.44776532386525664,1,Positive,Positive,Negative,Negative,Positive,Negative,Positive,Negative,23,9
"I've been using Samsung for years. Started with the S5, then S7. Upgraded to S20 in 2020 and I loved it and kept it. Started doing video content and decided to upgrade to S24+. The screen was bigger, speed was great, photo quality is so much better, the videos it takes now are so clear and extra stable. With the s20, I needed a gimbal to prevent shaky videos but with the S24+, I found myself forgoing it a lot because it really is very stable, even running and jumping around on it, the videos are not shaky. Samsung always goes a good job, my S20 still works so I use it as a gym phone now. Can't go wrong with Samsung phones they just are better",0.9754,0.23611111111111108,0.0013592112308399296,0.01053064816244576,1.0,1.665622e-06,1,0.4604860908751987,1,Positive,Positive,Negative,Negative,Positive,Negative,Positive,Neutral,30,29
"Battery life is acceptable to me, though quite a bit worse than my s8 was when new, or my Google pixels. However - the battery can be swapped in seconds! The screen is vibrant and large, and at least as good as my pixel 5a was while being larger. The sound quality is good, and the speakers are loud enough to hear videos while cooking in a private kitchen.I'd buy it again, but its not built like a tank - I don't expect it to survive big falls without a case or any significant water exposure regardless of what the certification says.",0.526,0.1518862090290662,0.09018731223307697,0.04523275842307051,0.0,5.1223407e-07,1,0.2590438274170401,1,Positive,Positive,Negative,Negative,Negative,Negative,Positive,Negative,24,17
Had a mic issue which occurs during calls about 2 months after purchase. I can't reach the seller at this time & hoping this  review would reach them.,0.4265,0.0,-0.1975159490201045,-0.1596569153649301,0.0,3.3962788e-06,1,0.15276150455624807,1,Positive,Neutral,Negative,Negative,Negative,Negative,Positive,Negative,8,6
"The phone power button doesn't turn off phone, and it will not make/receive phone calls or texts.Poor battery life quality, this is definitely a defective item.I want a refund, and I am extremely disappointed with this purchase. Not as described.",-0.5095,-0.375,-0.9621984006538181,-0.6567741093036709,0.0,2.0496464e-06,1,-0.21478149433016203,1,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,12,7
It's a renewed phone but was hoping....!  I returned it. My voice breaking up. Screen not all over sensi,0.6114,0.0,0.10140024586906327,0.10769385910927465,0.0,0.4480631,1,0.3240796014747301,1,Positive,Neutral,Negative,Negative,Negative,Negative,Positive,Negative,7,4
"I had a S9 so I'm use to the product. That alone shows how much I like it. But most of all, I love being able to buy it without having to be locked in to a carrier, the great price from Amazon and Amazon's monthly payment plan. Thanks, Amazon!",0.968,0.4583333333333333,6.480263248159757e-05,0.014095495547225112,1.0,0.96006143,1,0.6286507232063044,1,Positive,Positive,Negative,Negative,Positive,Positive,Positive,Positive,13,9
"6th generation of Foldable phone and still common apps like YouTube do not have consistent, seamless transition of resolution from front screen to inner screen.",0.3612,0.012500000000000004,-0.30909962968280935,0.09456554191502597,0.0,0.6348337,1,0.2562856579623643,1,Positive,Positive,Negative,Negative,Negative,Positive,Positive,Negative,11,3
Love it so glad I purchased it !,0.831,0.5625,5.589046447389279e-05,-0.0004907454454113114,1.0,0.877155,1,0.6100314501358453,1,Positive,Positive,Negative,Negative,Positive,Positive,Positive,Positive,0,2
"As a retired person, I'm home more, using my Samsung Galaxy tablet. I held onto an old Motorola that I got from TMobile in 2019!I finally upgraded to this Galaxy and love it. I synced my phone and tablet for easy transition and fluid use.I like the fingerprint security feature, the appearance, and long-lasting battery. The only issue I have is with the camera and video. Like many mobile devices, distance shooting is pixilated. That's why I still use a 40x zoom camera.",0.9299,0.25416666666666665,0.01645150516382643,0.0038366478376617406,1.0,0.89458305,1,0.5855625523006378,1,Positive,Positive,Negative,Negative,Positive,Positive,Positive,Positive,28,11
"If you are looking for a RUGGED phone,DO NOT buy this phone!! This is supposed to be a rugged phone as described on the listing.  Unfortunately, even in an Otterbox case the phone screen shattered when it fell about 2.5 feet. After contacting Amazon, I was advised to go through Samsung, which I did. I was told, via telephone, that it was under warranty. We bought the phone in May 2022 and it's now September 2022; so, yes it is still under warranty.  Unfortunately, Samsung determined they aren't honoring their warranty and wanted to charge me $157 to repair the phone. I refused to pay it because the phone is still under warranty, we have it in an OtterBox case, it is touted as a rugged phone with a Gorilla Glass screen and we're still paying for the phone.  I requested to speak with a supervisor, was told one would return my call in 24 hours but that never happened.  The phone was returned to me unrepaired. I have been a fan of Samsung phones for many years. I will NEVER buy ANY Samsung products ever again.  Amazon should stop selling this phone as advertised because it is NOT RUGGED.",-0.5244,-0.16666666666666666,-0.678220251975119,-0.6173979149339814,0.0,8.5537704e-07,-1,-0.4266691397426755,1,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,50,47
"Got this on Amazon Day for $350 off. Great price. Had been needed a new phone for a while.I had to resize my old background and screen lock images, kind a of pain.",0.7096,0.40909090909090906,-0.026906743603903216,0.0468811162878624,1.0,0.8669646,1,0.5722328372004869,1,Positive,Positive,Negative,Negative,Positive,Positive,Positive,Positive,14,5
5G is amazing.  Processor a hint slow.  64G of internal storage meets my needs. The screen is clear and bright.  Battery life is amazing.  I highly recommend this phone for value buyers.,0.9538,0.26571428571428574,9.597852389924e-05,0.004818520965897761,1.0,0.93506914,1,0.594213989853744,1,Positive,Positive,Negative,Negative,Positive,Positive,Positive,Positive,11,5
"Call quality is good, camera is ok if you hold it perfectly still, 3 months after purchasing, the screen goes black on me. I took care of my phone, in case from the beginning, open it to change the MicroSD card and the phone craps out on me.",0.91,0.40666666666666673,0.11374860714881407,0.12608281728111237,0.0,0.8334542,1,0.48427889754018805,1,Positive,Positive,Negative,Negative,Negative,Positive,Positive,Neutral,13,9
"I am not really in to Paying $1000 for a phone so I looked for something that has Great battery life, Decent camera and works well as phone and for email and Not $1000.  This phone was it.  I have had it about 60 days: Great battery life...the way I use the phone I get about 3 1/2 days on a charge. Speaking of charge it fully charges in less than 1 hour. WOW!It work Very well for what I need. The fingerprint reader works much better than my last phone.  No complaints here!",0.9436,0.275,0.0007392479298246046,0.002892024240097279,1.0,0.8632571,1,0.5836411974698269,1,Positive,Positive,Negative,Negative,Positive,Positive,Positive,Positive,26,15
"My oneplus 9 wasn't ringing and I worked with tech support to troubleshoot it. When the I gave the tech the phone's IMEI number he said, ""That's a Chinese version. You aren't supposed to be able to buy that in North America."" When I gave him the model number he said that it didn't line-up with with a Chinese version model number. Confusion.Take that for what you will.",0.6597,0.16666666666666666,-0.14677962058184413,-0.147275469946599,0.0,1.0627981e-06,1,0.21890180556233269,1,Positive,Positive,Negative,Negative,Negative,Negative,Positive,Negative,16,12
I love Samsung phones and I've gotten them through Amazon on prime days twice now. It's the best phone. Cameras are always great.,0.9349,0.7666666666666666,3.8570173699195576e-05,-0.00033368538687476986,0.0,0.85146743,1,0.5075341402921535,1,Positive,Positive,Negative,Negative,Negative,Positive,Positive,Neutral,9,3
"I grew to hate my Galaxy S8 and its Android OS so I really didn't want to get another Samsung phone. Looking at the specs on the A54 and comparing it to what else is out there, I decided to take a chance and get it. Turns out everything that bugged me about the S8 is totally not there on the A54. Everything works with no edge feature to make it hard to handle the phone, great battery life, crisp, easy to read screen, faster CPU, and more! It doesn't cost an arm and a leg, either, even before the great Black Friday sale price. All good!",0.8684,0.24772727272727268,0.04146316220700008,0.03340843285551509,0.0,7.543808e-06,1,0.3130009159425264,1,Positive,Positive,Negative,Negative,Negative,Negative,Positive,Negative,28,19
I originally got this phone in June and I wanted to use it or over a month to generate honest opinions. First off Alexa is not pre-installed you have to manually install it. Secondly the Amazon OnePlus 8 does not come with a clear case included in the box. Now that I got those out of the way this phone is amazing it's really fast has an amazing screen though some people say they have green tint issues I have not experienced that on my unit. The software or oxygen OS is very fast and very reminiscent of stock Android though there are some pre-installed apps such as Netflix and Facebook installer but you are able to uninstall Facebook. The screen is beautiful and pretty big and that 90 Hz makes a huge difference from 60 Hz. I showed this to my friends and family and they were blown away with how fast it was. The camera on this phone gets a bad rap from people for some unknown reason because I've used this and it's the best camera of ever used on a phone apart from the 2mp macro camera that is only useful for gimmicky purposes. I actually had a better experience with the main camera zoomed in two times than the macro camera. Battery life on this phone with my usage is amazing I watch a lot of YouTube and scroll through social media every once in awhile and play simple games and I get a day and a half to two days of battery life. Even if the battery life wasn't amazing the warp charge 30t charges my phone from 0% to 70% in 30 minutes. The downsides of this phone are losing out on some flagship creature comforts such as wireless charging an official IP rating and a telephoto camera. Honestly this phone in a $699 package is a great value it includes all of the flagship features you need and cuts the stuff you don't. I bragged about this phone constantly and convinced my family members to switch from their iPhones to this phone.,0.9942,0.21671171171171175,0.01091052526646763,0.03186165326628518,1.0,7.5973617e-07,1,0.46481209285437597,1,Positive,Positive,Negative,Negative,Positive,Negative,Positive,Neutral,93,50
"At first I thought it did not work. I was using with Mint Mobile and when I installed my SIM, it didn't work. If you're going to use Mint, here's a tip. When they send you a SIM card, they send 2 cards! The one you ordered, and another, for a friend!?! But I wasn't expecting 2 SIM cards and had no idea there were 2 in the box, so I just opened the box and installed the first card I found, not thinking there was another one. Turns out I installed the extra card which they give you to give a friend LOL? Kinda strange, right! Once we figured out that was the issue, it was smooth sailing. I installed the other SIM that was there, unbeknownst to me, and it worked like a charm. I also tested it briefly with TMobile, and it worked without any problem. So the phone is unlocked and I can vouch that it works on those networks. Pro tip: If you need Mint support, it's better to get phone support if you can, because chat support was definitely much less informed of how to troubleshoot my issue, and I almost thought I'd need to return the phone. Also, make sure you really want this phone before purchasing it! Because Amazon return policy forces you to do a UPS pickup on returns, if you choose to return. So you have to wait around all day for UPS to come to your door to return the phone, and it sounds like it can be a real drag. They'll also take their sweet time returning the funds to your bank. So, thankfully, I am keeping this one, and so far, I'm liking it. It's VERY zippy! Also, very slippery! Get a case, as it will fall from your hands constantly! Good luck.",0.9965,0.24756618107769426,-0.010086530438323305,-0.03697851865859825,0.0,2.3819632e-06,1,0.31385764484914086,1,Positive,Positive,Negative,Negative,Negative,Negative,Positive,Negative,67,69
"By the way, the description of this product is not correct... It specifically says that this is a 16 megabyte internal memory... I was very skeptical at first... And as to my gut feeling... It is 8 megabytes as the 2016 model describes... However specifically in this product description it says that there is a 16 megabyte internal memory that can be expanded with an SD card... Do not buy this product if this is what you're expecting... It is a disgrace that misinformation, that is very valuable to the customer, can be advertised and not fulfilled.",-0.6738,-0.04,-0.7480309664921511,-0.17903691664750743,0.0,7.4762954e-07,1,-0.09155244793001661,1,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,24,16
"I've been waiting to get the 12 for a while now coming from a 9 PRO.  I went with this one for the new camera setup which I do NOT regret.  Great wide angle to zoom and macro.  Hi Res photos print well on 3x2 ft canvas.  The phone itself is speedy and battery actually lasts through the day. Screen resolution is fantastic even at reduced DPI which I use for battery conservation.  Wireless charging works flawlessly through a thick case, audio quality is perfectly clear both directions.  Hope I can keep it in good shape longer than I did my 9.",0.9527,0.30404040404040406,0.0020720187916627164,0.00607063464474053,1.0,1.966237e-06,1,0.46641214624483684,1,Positive,Positive,Negative,Negative,Positive,Negative,Positive,Neutral,27,18
"So I switched to this from a fold 3 (switched cuz of work environment) and I really like it, I've had little to no problems so farI've seen some complaints about the 150$ promotion amazon is having it does give it to u it doesn't apply it to ur account like a gift card tho, u have to buy something made and shipped from Amazon and when u go to check out it'll add a promotion to ur order filling what ever the cost was until u use all 150$Here the pros and cons I've noticedPros -Amazing battery life lasted me from 4:45am to  9pm with 15% remaining.Google image search biuld in to the phone, I love itCamera is way better then the fold but given the fold doesn't really focus on camera qualityCons -Here's the big oof with this phone, I haven't read too much in to it or anything but as to what I'm aware, 32bit system is getting dropped and newer phones are gonna now only support 64bit operating systems so u might loose some of the apps you had previously ( I lost around 12 apps/games ) and that's not saying it won't be fixed later on the dev could add 64bit to the app.Other then that I have no other complaints about it.",0.7962,0.14542735042735044,0.005594662112950954,0.06222431006084883,0.0,1.7096135e-06,1,0.28706400460208675,1,Positive,Positive,Negative,Negative,Negative,Negative,Positive,Negative,49,44
Everythjng works glad I can play games made after 2003 nowPhone reviewPositives+ decent all around phone+ can play some games on high graphics+ does what a phone does+ 5G+ easy to carry phone number over from another phoneNegatives- forced security updates on a 400$ phone- garbage apps- design is fragile- under performing chip for the price- too much investment into the cameras- gets really hot,0.8555,0.17625,0.04788988793842819,0.056618073245846,0.0,8.4617227e-07,1,0.30517982962236345,1,Positive,Positive,Negative,Negative,Negative,Negative,Positive,Negative,19,10
Nothing that I dislike about this product. Thank you for being very responsive seller.,0.7563,0.2,0.012819754573373032,-0.060677031121716185,1.0,0.9120134,1,0.545779447853367,1,Positive,Positive,Negative,Negative,Positive,Positive,Positive,Neutral,4,2
perfect :),0.7717,0.75,0.11030036259673182,-0.001177043396180591,1.0,0.87112,1,0.6431347564634647,1,Positive,Positive,Negative,Negative,Positive,Positive,Positive,Positive,1,0
"I got my S9 after my S4 crapped out after 5 years (screen went off, wasn't even cracked).  My S4 & S9 served me very well!  I had the S9 for 4+ years it simply is an amazing phone.  I was at a crowded place, and someone knocked my elbow while holding it.  It fell, and the screen cracked pretty bad (not like one crack, many cracks).  Screen still works perfectly, but, I was scared it could stop working at any time.  So, I needed a new phone.  I looked at the S21 FE and S22.  At the time I purchased, the prices were about $200 different (then a week after I purchased, prices were the same!).  But, I'm happy with my purchase.  I liked small phones in the past, never had a bigger one.  I am actually enjoying the larger screen.  Better for viewing content.  I'm a guy and my pants pockets are plenty large for this phone as well.  Feels no different than my previous S9 in my pocket.  I've watched a lot of YouTube reviews of the camera / video quality / test pics and footage, and it seems they are almost the same (sometimes I prefer and think the S21 FE image / video looks better, others the S22 looks better - kind of a toss up).So, what have I noticed?  Well, battery life is amazing!  Beats my S9 by FAR!  Now, my S9 was 4+ years old when I had to replace it (now use the S9 as a ""camera I'm not worried about losing or breaking"").  I had the S9 for a long time, and I cannot remember how good battery life was when I first got it.  But, I don't recall it ever getting worse either.  What I can say is, I used to have to top my S9 up a bit at least once or twice a day.  My S21 FE, lasts ALL DAY (and I even have the battery saver setup so it only charges to 85% - never did that with the S9).  And even from 85%, I get a full day no problem!  Usually around 35% or so when I am ready for bed.  The screen is great.  I do leave on 120hz mode all the time.  I also have dark mode turned on.  I like how it looks, and dark things on screen use less battery than bright white things.  But yes, battery is great.Now the cameras.  My S9 actually had almost identical video.  I make YouTube videos and the S9 did me very well in 4K by 30 or 60.  I do notice the S21 FE is ever so slightly better image.  It also has better stabilization and just some other processing stuff that helps out.  The pictures are better for sure.  I've taken pictures of people and shown them, and they've been like, ""What phone is that?!?  The pictures are sooooo good!""  The S9 did well.  But, the S21 FE is for sure an improvement.  I used to use my G7X Mark ii for most pictures, because it just was better by far than my S9.  Now, I don't think I ever really need that camera anymore.  This phone produces awesome photos!I haven't had a single issues, no glitches, no nothing.  Just a smooth perfectly working phone.  I did kind of like the S9 having the fingerprint reader on the back.  But, I quickly got used to the in screen reader.  It works fast and great.  Apps load fast.  Camera is on in an instant with a double tap of the power button.  Just really nothing to complain about.  I would have kept my S9 another few years, but, I am happy with the S21 FE and hope it lasts me 5+ years as well.Great phone, if you are looking into it and deciding if you want to get it, I for sure recommend it.",0.9991,0.26828778860028857,0.09395557481228778,0.07359504571407438,1.0,0.93717027,1,0.6245869537473933,1,Positive,Positive,Negative,Negative,Positive,Positive,Positive,Positive,182,116
"Phone worked great for a month until one morning, I picked up the phone and there was a black line down the middle of the big screen, rendering the whole right side useless",0.3182,0.05793650793650794,-0.16862524723664674,-0.06630620864234893,0.0,7.9168314e-07,1,0.1630294062486639,1,Positive,Positive,Negative,Negative,Negative,Negative,Positive,Negative,9,4
"Hello,The description shows it as Dual Sim device.I received a single sim. very disappointed.Realized a month or so after deliveryIf you need dual Sim get the Uk/International version also vendor should change the product details as this caused an expensive purchase and inconvenience",-0.3612,-0.12380952380952381,-0.7664380149011012,-0.5104913415411222,0.0,1.0121861e-06,1,-0.10884826686652252,1,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,15,8
I bought the one plus 9 pro and returned it because it had terrible signal and terrible Bluetooth. This 10 pro has zero issues for me. I can be down in the lower level at work and through block walls. I still have signal. The battery life is amazing. And the fast charger gets me to full in 15 minutes. It's amazing. I am a long time gooe phone user from every nexus to every pixel. My last phone was a pixel xl 3. I loved it until I started having service issue.  I may never return to pixel now that I have experienced the one plus. You won't be disappointed. Being able to get a 10 pro at 500 is amazing.,0.8203,0.09960317460317461,0.0008055463510419081,-0.07785583498644078,0.0,3.473561e-06,1,0.26326519421840183,0,Positive,Positive,Negative,Negative,Negative,Negative,Positive,Negative,30,23
"I love the phone. It is so much nicer than my older Note 4.  It has Facial Recognition, as well as a Fingerprint Reader. This Fingerprint reader is now part of the on/off button on the side of the phone. You only need to position your index finger on it as you hold the phone in your hand... no more swiping your finger!  In addition to the up and down volume toggle buttons on the right edge of the phone, there is a power button which is also the finger print reader. There are two additional buttons, one of the left edge and one on the top edge, both of which can be assigned to an app or a event.  The LED light used for notification has been moved from the top front of the phone to the top edge of the phone, so you can't always see the LED flashing unless you're looking at the top edge of the phone.The phone is thin and actually longer than my Note 4. In addition, the screen is larger and resolution is higher especially since the the display is the entire front, as there is no loner a bezel. Even the front facing camera is inside the screen display, which is strange when looking at a picture since you may think that there is a black dot in the top right of the picture, when actually it is the front facing camera.Since the phone is not sold by Verizon, I had some issues getting it provisioned.  Some of the Verizon employees said it wasn't supported, when in fact it is. The phone has two SIM card slots. When I entered the 1st IMEI number (slot 1) on the Verizon site, it said that this phone is a perfect match. I eventually got it provisioned by swapping the SIM card between my Note 4 and XCover Pro phones.  The only remaining issue is that voice mail doesn't work when the SIM in in the XCover Pro.  I have to believe that that will eventually get fixed. (I am on hold with Verizon as I type this).The documentation is almost useless. A simple pamphlet is provided with a basic diagram, but it is not clearly evident that slot 1 actually has a lower slot for a Verizon nano SIM card, and an upper slot, for the SD card.  There is of course a second SIM card slot to the right of first for a GSM SIM card. You need to remove the large battery to access any of the slots (which is simple).  Also the first SIM card slot has a very tiny embedded lever that allows you to easily remove the nano SIM card! I didn't look to see if the second SIM card slot has a similar lever.",0.7954,0.12545544733044733,0.00025459150045761825,0.0005482506092959889,1.0,2.244386e-06,1,0.4173800762608853,0,Positive,Positive,Negative,Negative,Positive,Negative,Positive,Negative,137,71
I like the product. Came in good condition. Everything works. It was a gift for my brother’s birthday. He really likes the phone!,0.893,0.475,0.00011703065208208685,0.001314838251263069,1.0,0.89908195,1,0.6097876877603795,1,Positive,Positive,Negative,Negative,Positive,Positive,Positive,Positive,8,4
"Update:I no longer close myself out of apps (except just now, bc this phone has a twisted sense of humor). Like any new setup, it just took a little getting used to. For example, I added a screen protector, not realizing it came with one already on it. I don't expect to upgrade for quite a while, but when I do, I probably won't even bother looking at other brands. OnePlus is the way to go - the Nord n30 feels and acts like a much more expensive device than it is.Original:I had never heard of the OnePlus brand until recently, but they seem to have a very good reputation. The Nord n30 kept topping the list of best lower-cost phones, so I took a chance and I'm so glad. My old phone was glitching a lot, basically acting like it was on the verge of total failure. I wanted to get something of reasonable quality, and fortunately, Amazon lets you pay in installments with no interest. That makes a big difference when money is tight, and at the holidays in particular.It's thin and light, and the screen is about as big as it can get without being ridiculous. That's perfect if you're 40+ and don't see as well anymore. The downside is that if you happen to have small hands, it may take some getting used to - it's just the slightest bit of a reach. The display is bright and beautiful, and it's super quick with no lagging. If you watch videos or listen to music you'll notice that the sound quality is amazing, particularly with earphones.I take a lot of photos, so the camera was important too. This one is very nice and I've gotten some excellent pics of the cat (and really, what else are cameras for?). I tested it on notoriously difficult holiday lights at night, and it did very well. Looking forward to landscapes and snow scenes. And more cat. The only thing that bugs me is I keep accidentally minimizing apps by swiping too close to the bottom where the functions are. That's something you have to acclimate to, but hopefully I'll get there soon.Overall this is an excellent choice if you want a high quality phone that doesn't cost half a month's rent.",0.9974,0.22171330653473514,0.11908639234820484,0.04724670130684827,1.0,0.7796428,1,0.5950127457925806,1,Positive,Positive,Negative,Negative,Positive,Positive,Positive,Positive,96,71
I spent $350 and for the price it is a great deal.The phone might be 2 years old but everything else in this price range is mid end.And this is definitely no mid end phone.It comes with a 20w usb-c charger. It charges extremely quickly.The battery lasts all day too. And thats with constant playing youtube and browsing twitter,0.431,0.09642857142857143,0.0009729467967249938,0.1354029571274129,1.0,0.90344846,1,0.5096075625484252,0,Positive,Positive,Negative,Negative,Positive,Positive,Positive,Neutral,20,8
