text,vader_score,textblob_score,roberta_score,bert_score,cnn_score,lstm_score,svm_score,hybrid_score,vader_sentiment,textblob_sentiment,roberta_sentiment,bert_sentiment,cnn_sentiment,lstm_sentiment,svm_sentiment,hybrid_sentiment,noun_count,verb_count
"I bought this after my dad bought one and I helped him set it up and saw how amazing it performed. My dad returned his to get a new iphone because he wanted to stay with his familiar apple.. So a month later. I bought one, and let me tell ya somethin'. Don't think of it as ""cheap""... This bad boy performs like nothing else.. I don't care about load time for apps or how long it takes to turn on/restart. That's highly irrelevant. Overall use and performance is what matters. This thing is a powerhouse! 8core, 8gb ram... Expandable to 1tb sd card... Yeah. this thing has mass power.. I've used apps known to heat up and over heat phones as my performance test and this thing didn't get warm in the slightest. I also love that you can allocate unused space out of your 128gb to help the ram perform cleaner and more efficiently...I absolutely love this phone.. I love how it feels in the hands. has more freedom to customize than most ""android"" based OS's. you can actually delete apps you don't want and disable ones that don't delete..I'm very happy with this purchase and with its specs. I'm sure itll last years.. unless I break it for some reason.. I'm not the most careful person..",0.9671,0.06858122097192813,0.02797030380462462,-0.010646251649550464,0.4058685302734375,0.3832094669342041,0.9020490884018594,0.3910108723057723,Positive,Positive,Positive,Negative,Negative,Negative,Positive,Positive,53,43
"The main problem with all of my previous OnePlus phones always had to do with the battery life being pretty awful. This new OnePlus 12 phone has an shockingly long-lasting, even quicker charging battery than any other smartphone… period!",-0.5411,-0.0639285253099174,0.05007253811039858,0.046740508220618704,0.6442345380783081,0.630103588104248,0.5431883736268928,0.006994578929598516,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Neutral,10,5
"The closed screen is easily usable 1 handed, which is more convenient than my old Galaxy Note 20 Ultra 5G.  The open screen is great for work, especially emails or spreadsheets.  The camera is amazing.  The battery lasts all day with heavy use.  The only thing I thought I would miss is the stylus, but I have quickly forgotten about it as the open screen more than makes up for the niche use of it.  The speakers put out great quality sound.  For hundreds of dollars less than the Z Fold 6 this is easily the best foldable you can buy right now, and an unbelievable value.",0.97,0.0747762046485261,0.00023775717496524185,0.0026170583108968614,0.45159053802490234,0.3461970090866089,0.8211137625022495,0.37374895652732754,Positive,Positive,Positive,Positive,Neutral,Negative,Positive,Positive,26,16
"I like the phone.  It's the 3rd oneplus that I've had.  It's a good phone.  The only two big downsides I had for this phone when comparing to Apple and Samsung is that 1) the facial recognition is pretty poor.  it's just random when it decides to work or not, and if it's dark or anything at all around your face you can pretty much forget it.  2) the camera quality is pretty bad.  Luckily for me, I don't take a lot of photos so it doesn't bother me that much, but I would really have liked something that would at least look similar to an iphone's capability 10 years ago.",0.8798,0.002413050169282855,0.020883858295380087,0.02150715776755581,0.39130330085754395,0.18284201622009277,0.4904654504916872,0.2830139033447812,Positive,Positive,Positive,Positive,Negative,Negative,Positive,Positive,27,17
"As long as you have your APN settings right, it will work with Verizon, most people are just technology illiterate and blame the phone instead of there own ignorance.",-0.5994,0.11150829081632652,-0.12670804329747543,-0.057721219519975,0.5965945720672607,0.6300854682922363,0.3350067046245245,-0.0674628534753199,Negative,Positive,Negative,Negative,Positive,Positive,Positive,Neutral,8,5
I got rid of my one plus 8 phone because I thought it was defective. I had to reboot the phone every once a while when I wanted to make a call. If you tried to make a call they can hear you but you cannot hear the other person. I still liked the phone for all the other features. so I upgraded to a BRAND NEW one plus 9 (the 8 was a used one) BUT after a week or two of having it.. THE SAME F******** thing happens.. I try to call and I cannot hear the other person so I HAVE TO REBOOT just like the old phone.. I WILL RETURN THIS PHONE and NEVER NEVER get a ONE PLUS AGAIN. I think I try the Google Pixel (? version ?) I have heard lots of good things about that phone.,0.8809,0.02107446087293386,-0.13024338807411517,-0.29135998905321614,0.33864450454711914,0.26627588272094727,-0.22400769250133792,0.05127267824885293,Positive,Positive,Negative,Negative,Negative,Negative,Negative,Neutral,35,28
"This phone is great! Folded you get a standard size screen for normal use, unfolded and you get about twice the screen for multitasking work or game on a bigger screen. Only issue I have is the screen protector on the cover screen due to fingerprints and dusts.",0.6588,0.007971938775510197,0.003434755988538485,0.007339365948739726,0.6825617551803589,0.6301412582397461,0.5831403994193115,0.25213729202642,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,14,8
"I bought this phone because physically it has features I want but there is also the OS OxygenOS so this is my thoughts on both.I wanted an unlocked phone that works with TracFone. I wanted NFC, minimum of 128gb storage plus the ability to use my micro sd, 5g though 5g was not a deal breaker. As I looked I became aware a 3.5 headphone jack is rarely available on most new phones and I use that daily and it's available on the N30.I had no problems activating the phone and transferring my TracFone service, I used a TracFone sim and the menu available on the TracFone website. The phone functions well everything I was looking for. It does have one physical drawback in my mind and that is the location of the volume keys. The power is on the right and volume on the left and it's easy trying to change the volume to press the power at the same time. In OxygenOS the power button and volume down key activate the power menu to restart or power off and it's easy to press both unintentionally. The battery I'm happy with only charging once a day with the supplied charging block and cable. It will quick charge in about 20 minutes. Overall I am please with the device. The sound is wonderful, the camera good but the interface is different then I previously had. I work from home and use wifi calling without an issue.The OxygenOS is the other part, I have adjusted to most of the differences but it's not what I view as my OS of choice. An example the phone would go to sleep while I was looking at it, I looked for a setting to keep focus while I was looking at the screen but for the life of me I couldn't find an obvious named setting. I continued looking and I have changed so focus stays on but trying so many things I can't tell you which setting changed it. I use Niagra launcher and it makes a change in OS less dramatic. There are two apps I have been unable to uninstall, “Red Cable Club” and the “OneplusClock” I prefer the Google clock I’ve been using for years.I would buy this phone again, it has all the features I was looking for and some of those are being eliminated in new phones.",0.9759,0.031780605399445626,0.07490326004226189,0.06576964298670496,0.41098713874816895,0.3777468204498291,0.3378342387239256,0.2972375494304676,Positive,Positive,Positive,Positive,Negative,Negative,Positive,Positive,95,84
"My daughter got one of these one plus phones and she really likes hers . She got the pro and I don't like rounded screens , so she talked me into the one plus 9 because it has a flat screen. I've had it a week now and it is a very nice phone. After my husband got a hold of it he was jealous so I ordered him one for Father's day . It came fast and set up was easy too.",0.6093,0.10091211111111113,0.0005217350551952882,0.02007997278420154,0.5565422773361206,0.6241905689239502,0.4410465185185115,0.23437206749380385,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,13,14
Phone has the slowest WiFi speeds I've ever seen on a phone. Doesn't even recognize WiFi 6 and rarely sees WiFi 5. No wireless charging. Finicky when plugged into my PC. When outside my Pixel 7 is brighter than this phone. Finger print reader works fairly well. Fast charging is great.,0.765,0.15999999999999998,0.03637070352944516,0.06308463360644634,0.6717616319656372,0.6301624774932861,0.5846240080889284,0.321815869044964,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,17,8
Had it for 2 months and the screen broke for no reason I didn't drop it or anything I was playing a game I closed it and opened it back up and it was broken now I have to wait 5 to 7 business day while I get it fixed I connected OnePlus and they are useless in short never settle for OnePlus,-0.8067,-0.03448979591836735,-0.8797881923390694,-0.6109295014288374,0.6165556907653809,0.6304788589477539,-0.20989291201620225,-0.5083600803404952,Negative,Negative,Negative,Negative,Positive,Positive,Negative,Negative,9,17
"Loved the phone coming from Samsung Fold 4.Good: bThe outer screen in great, the camera is top notch.Bad:  Some Apps have to be reinstalled over and over (Best Buy) because of interface issues.  The inner screen isn't as fluid as the Samsung Flex Mode.  You will love the initial use until your apps will not load.  The android use with your automobile will be funky so don't expect smooth issues.  During the auto mode the Bluetooth will keep initiating, even if you turn it off.  Will turn itself back on.  Smh",0.9607,0.15210000000000004,0.03499121460976973,0.03667407494689234,0.3791234493255615,0.5395944118499756,0.6869031454844655,0.3742736870082256,Positive,Positive,Positive,Positive,Negative,Neutral,Positive,Positive,28,18
"Good, solid, speedy all around phone. The only issue with it is the curved screen. Too many accidental touches.",0.4939,0.09000000000000002,0.07551064580991795,0.003150573921808163,0.6330767869949341,0.6300832033157349,0.6016079931187822,0.25283384257010166,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,7,1
Why advertize 1 day shipping if they can't deliver on-time? How hard is this? The phone itself works great,0.6199,0.06460069444444444,0.05768775099222356,0.0057175981010467725,0.6305660009384155,0.6300830841064453,0.5832662173355264,0.26623445217464825,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,4,6
My Nord N30 I bought used in good condition and it's a great phone. Haven't had any issues.,0.7906,0.5625,0.0004982771033881367,0.0009996042579523828,0.6551733016967773,0.6300830841064453,0.6579124518815902,0.4025020666485862,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,6,4
Great device,0.6249,0.6400000000000001,0.006496668991394894,0.0001513642155629713,0.6495627164840698,0.630083441734314,0.9466712385169537,0.4436438543447824,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,2,0
"Was very worried whether I could get a provider, because I was with Straight Talk with my last phone and I couldn't find information that Straight Talk worked on this OnePlus 11 phone. I went from an A51 Samsung Galaxy phone to the US Factory OnePlus 11.  I took the Sim card out of the Samsung and put it in the OnePlus 11 and I had service right away.I know I couldn't keep the new phone on the old Sim, so I went to get a new Sim Card, but ended up buying a Simple Mobile SIM card which is a sister company to Straight Talk. Had to call into Simple Mobile to set it up though.  It would not just setup. However, when I called customer service and they sent me codes, they asked me questions, such as ""what is your pin"", etc. and I couldn't answer them because I was not setup with Simple Mobile.  I kept saying I am not getting codes from Simple Mobile and I haven't setup security questions with Simple Mobile.  Later during the conversation I noticed I was getting messages from Straight Talk.  I then found out the same people I was speaking with work for both  Straight Talk and Simple Mobile. So, my codes were in another email address I set up for Straight Talk.  The security questions they asked me that I couldn't answer, were actually the Security Questions I setup in Straight Talk.  Was confusing.Want people to know, I just did not want to order a SIM from Amazon or Straight Talk and wait a few days to get it. That is the only reason I didn't set it up with Straight Talk. The IMIE number did work with Straight Talk. I tried it also with Google Fi and Verizon.  Verizon actually recognized the ESIM as well. So, I was surprised. So, my answer to, ""Will this phone work with Straight Talk?"" Yes it will and it also works with Simple Mobile.I bought the Simple Mobile Bring your Own Phone 4G LTE and 5G Sim Card. It was $1.00.  But they charged me another .55 cents for 911 emergency fee for the Sim Card.  When I signed up with Simple Mobile to be my actual provider, I noticed I am charged again .55 cents for 911 emergency fee?The look is different then what is in the pictures.  It is not a dark green.  In fact it is sort of a light blue green.  It is very nice looking and a wonderful surprise. I would say it is more of a marine blue. Laying down with a clear cover on the back of it. It is a light green/gray color.How fast it charges is amazing.  15 to 20 minutes and it is fully charged. Love it!It was very easy to setup.  I used the Google backup method, by backing up my old phone to Google Drive and then uploading from Google Drive to the new phone.  All my apps were setup automatically. I just had to put in my internet credentials and email credentials and I was all set.One thing I noticed was I couldn't shut the phone off. Apparently you press the power button on the right and have to hold the volumn up on the left at the same time to get the power option to shut it off. I didn't like that...so I went into Settings and went to Additional Settings and went to Power Button Menu and then to the Press and hold the power button menu and checked off the Power Menu instead of the Voice Assistant.Now all I have to do is press the right hand button and hold it and I get the Power off menu.  I did this because everytime I went to power down the phone by using the right power button, the Google Voice Assistant popped up.  Couldn't stand it, so I changed that button to just be Power on and off by doing the above.I know I read previous reviews stating this problem, but I don't think anyone said how to change it. So, this is for people like me, who don't want the google assistant coming up when they are trying to shut their phone off.I will try setting it up with my car next, but I really don't expect any problems. The service has been good so far and am not having any problems with text, voice or data.I didn't like the lock screen clock. It was weird as it separated vertically the hour and the minutes.  I was able to change that by going to Settings, then Wallpapers & Style, then menu option: always on Display and then changing the clock.  There are not a lot of options there.  But, maybe I can download something on Google Play.So, far very happy customer.Update:  Works with Android Auto. Set it up in my car with no problem.  Was tricky as I didn't understand what I was doing. Plugged it into my USB port in the car and plugged the other end of cord to the phone.  Went to menu in car and put on BT Pairing and went to my phone and swiped down to get Bluetooth.  It said available devices and gave me some sort of at numbers and letters that had no sense to it one way or another and I pressed that on the phone and then pressed BT pairing on the car menu and I then saw Car Audio and it asked me if I wanted to pair or accept that, so I pressed yes.  Called someone and it came over my car radio which was perfect.  Make sure car is on when you do all of this and it does say to have it in park.  I don't think it mattered in my case.  I have an older 2015 car and it worked fine.  I got calls in and they also went out.  Perfect!  The google mapping worked perfectly on my phone giving me direction by direction.Bought a second US Factory OnePlus 11 5GB for my husband and setup Android Auto and it gives us google mapping on his car dashboard with no problems.",0.9985,0.03456552714402248,-0.07057035622571595,0.030568765464871195,0.3646562099456787,0.3028233051300049,0.027091145748529007,0.2040310164263414,Positive,Positive,Negative,Positive,Negative,Negative,Positive,Positive,285,199
"This OnePlus 12R is the best phone I have ever owned. I had purchased a Pixel 7 after my iPhone started giving me grief, and the battery was draining quickly. The Pixel 7 had issues, so I purchased an off brand phone, which had to be returned as well as the Moto G Stylus 5G I purchased.I couldn't decide between the OnePlus 12 and the OnePlus 12R, but I went with the 12R since it was more than $200 less. I'm not sorry.This phone charges quickly, the battery is long-lived, and the screen is extremely responsive even with a screen protector. It also takes awesome photos.I highly recommend it to everyone. And it sure beats paying $1500 for a new iPhone.",0.968,0.06813825729116862,0.0014334419279171673,-6.078484007906093e-06,0.3862950801849365,0.43030619621276855,0.9365383725912152,0.39482079866525865,Positive,Positive,Positive,Negative,Negative,Negative,Positive,Positive,23,27
"Disclaimer: I use this phone mainly to talk, text and peruse social media.  I don't do too many live videos or take a ton of photos.This phone does a great job in everything although it's really not a master in anything outside of battery life and charging options.  I get a full day out of this phone easily.  Usually around the 1 day, 3 to 5 hour mark before I charge each day.  I usually charge when the phone gets between 20-25%.  I can leave my house at 35% or even go to bed at 15% and never worry about running out of juice.  And even if I'm low on juice, I can charge this phone from 20-100% in about 25 minutes.  I am amazed at how I can put this phone on the charger and in just a matter of 5 minutes I've gained about 20% of power.  Even when using a USB charger, it's still pretty fast.  Wireless charging is about average.  That is the phone's biggest strength.As far as talking goes, it has a good quality sound.  Coming from a Samsung 20 FE (Verizon service), I found myself missing a call now and then (goes straight to voicemail) or drops in audio when I took calls at home.  I've yet to have a problem with the OnePlus, so I'm guessing the internal anntenna is better because I'm still with Verizon.There are a lot of audio playback options available (Dolby Atmos, Spatial, etc.) and I haven't tried them all out yet, but the speakerphone sounds loud and crisp.  However, when I connect to a Bluetooth speaker or in my car's audio system, the volume tends to be lower.  I have to really crank up the volume in my car or max out my Bluetooth speaker to hear clearly.  However, maybe there's an option I'm missing in the settings that would help me.And there are a ton of options in the settings!  It can be overwhelming to someone who isn't tech-saavy, but it's not as bad as it looks.  Most of the settings are basic on the surface, but if you go into the sub-menus then it will get more advanced.  But you can control things to enhance the already superior battery life to changing your refresh rate for smoother scrolling.  Just about everything else is typical Android stuff, but OnePlus has some nice features of its own with the Floating Window and One-Hand Scrolling.The phone needs a case.  It's not easy to this phone even with both hands.  I wouldn't advise anyone try it unless they have pretty big hands.  It will probably drop as you are texting.  But that's not a deal-breaker because cases are inexpensive.The media on this phone is smooth.  It looks really good and there are options to tweak it even more.  Someone who is an avid TikTok or IG fan will be at home with this phone.  The camera takes amazing photos.  Unfortuantely, I haven't been on vacation yet to give it a real try, but what I've taken so far are very nice.  Definitely a little clearer and more realistic than my Samsung 20 FE.  Recording video is pretty impressive, too, but I've yet to do a live or video call.Anyone who pays almost double for an iPhone or Samsung is really just seeking the brand.  Yes, those phones may have a few more bells and whistles with A.I. and they may have slightly (arguably) better cameras.  But if those phones are a 10 on a scale of 1-10 then the OnePlus is a 9.  And it is much, much more inexpensive to the point that you could probably get two of these for the price of an iPhone or Galaxy 24.",0.9966,0.0517890296545504,0.010693556225676859,0.04711298154227328,0.447645902633667,0.3148496150970459,0.7569715731693547,0.3726334281183711,Positive,Positive,Positive,Positive,Negative,Negative,Positive,Positive,157,103
"I've never used a phone cover on my phones.  But within a month, this phone has somehow gotten a bigger (although superficial) scratch than I ever had on my older phones.  So I have to conclude the glass isn't as scratch resistant as I would expect from a good phone.",0.5927,0.08345679012345675,-0.23125019475540665,0.15085706752113737,0.6633257865905762,0.6302342414855957,0.4308114839624056,0.20531502937031862,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,14,7
"Have had this device since December 2023 (a few weeks after it came out). Below are some pros and cons.CONS:- Camera is mediocre, unless you are taking still photos (which are fantastic)- WiFi speeds are not in the same league of even a prior gen Samsung/Apple flagship devices. I have a S22 Ultra and this, and in the same location, the S22 ultra will show speeds upwards of 870Mbps, whereas in OnePlus Open will not cross 500. Yes, it may not be a deal breaker, but with most homes nowadays having a lot of IoT devices, bandwidth/ speed are all limiters. ALSO: Ensure to turn off ""Private DNS"" which will otherwise cause speeds to be EVEN MORE slower (!!)- Apps sometimes quit and need to be force stop and reopened. May or may not be an Android thing, but seems to happen more on this than my S22 Ultra- Compare the photos from this phone vs the S22 ultra (or S23 or s24) and those are noticeably better/ sharper. All these phones have AI and processing power, so no excuses for the camera being bad. But yes, the software is not up to the mark which could be the difference.PROS:- Screen and display. Size and clarity are fantastic- Still photos from the camera are excellent, with good clarity- Audio quality is really good on both phone / video calls and music, etc- The device is fast (exception of WiFi)MEHs:- Even in places with good towers nearby, the 5G speeds are almost useless (lets' not get started on the whole is 5G worth it discussion)- Phone does get noticeably warmer with using maps for a couple of hours or video playback for couple of hours- Battery life is okay, nothing to write home aboutOVERALL:While it is not a stellar phone for the pricepoint, it is definitely good. And hope it gets better with more OS updates. Will not buy another OnePlus until these improve though.",0.9951,0.058963530949931446,0.27539087996901745,0.1782606854671389,0.3136725425720215,0.24298739433288574,0.42723219679319735,0.386989458635857,Positive,Positive,Positive,Positive,Negative,Negative,Positive,Positive,104,55
"Charging port had difficulty after just 5 months, adding a fingerprint has to be the most painful thing Im so heated I'm buying anything asap that experience alone infuriates me. Camera is really just ok.",-0.8805,0.015625,-0.9558004218553348,0.2115288950608667,0.6430280208587646,0.6300907135009766,0.7044213046635331,-0.18094504442618697,Negative,Positive,Negative,Positive,Positive,Positive,Positive,Negative,10,10
"This phone is awesome, only downside though is it doesn’t have more storage options. But it is like the title says “best foldable of 2023” hands down. Wider outside display, excellent cams and it even has stylus support not only on the inside screen but outside, too. You can use a cheap stylus from amazon, if you don’t mind not having all the features. Or you can basically wait for one plus to get their stylus on the market(amazon). So if you are thinking of a foldable i would buy it and try it out, you can return it if you are not satisfied. Thank you OnePlus and amazon.",0.9069,0.10091852872155899,0.0012100928405223144,0.009083836802687324,0.40526843070983887,0.4430544376373291,0.23192130195481955,0.25000675206391765,Positive,Positive,Positive,Positive,Negative,Negative,Positive,Positive,20,20
"Ready to use, but some features are very limited. A bit too long. High quality photos. Protectors not easy to find.",-0.6308,9.070294784590586e-09,-0.24975696713006035,0.02760521646398617,0.6927728652954102,0.6300832033157349,0.916270258351156,0.012663703351075316,Negative,Positive,Negative,Positive,Positive,Positive,Positive,Neutral,7,3
"I like that this phone has a good battery life and charges superfast. The display is crisp and clear -- again something I like. The speakers allow me to listen to a lecture while driving if put on my shoulder. The one thing I dislike, and it is probably a part of the OS, is that I cannot delete portions of a message thread; the only option is to delete the entire thread. Also, I am used to a quick and easy way to add contact info to an incoming text. I go round and round trying to figure out how to do this with this OS. This is definitely an improvement to my Samsung and Motorola phones. No real bloatware. The automated ""clean app"" bing from T Mobile did not work despite multiple bings. That's OK just as long as I can do it manually. This is my second Nord OnePlus phone. It won't be my last. I already have the extension tablet with keyboard -- I like that I can ""cast"" my phone to that bigger work/viewing surface -- and I have the Pro2 earbuds. For a brand that I never heard of before seeing them on Mint Mobile, I am pleasantly surprised at the usability. and innovations. Their red cable recharger even speed recharges my Samsung work phone. It's hard not to follow what they are doing...",0.9723,0.008548910304862697,0.02938923053765219,0.0020130210024192478,0.3857557773590088,0.26541221141815186,0.6886296664661447,0.34017616566221576,Positive,Positive,Positive,Positive,Negative,Negative,Positive,Positive,53,45
Love the phone if you're gonna root it it's even better. Stock use is pretty decent if you're a light user it's awesome if you're a heavy user the battery last less than expected but charges unbelievable quick (please try not to use it while charging) I suspect the that charge rate comes at the loss of charge cycles but am not sure.Just wanted a phone with more ram and newer Android OS as well as more storage so I am happy.The bad NFC does not work unless your  rooting the thing. So yeah there's that.,-0.3613,0.033204938271604964,0.004063231283887081,0.08933987841408886,0.2995716333389282,0.45131802558898926,0.8512379614793971,0.12330920188979562,Negative,Positive,Positive,Positive,Negative,Neutral,Positive,Positive,27,15
"For context, I've been a long-time iPhone user, and I've been taking flack for it ever since I started working in tech. After doing research on the best folding phone I landed on this one.I think its a brilliant phone when it comes to the camera, screen and software features. Oxygen OS is amazing and I hate to admit it, but far superior to iOS in my humble opinion.That being said, customer support for this device is non-existent. My mother-in-law accidentally dropped my phone, and even though it was in a pretty rugged case, the internal screen got damaged. It's been over a month since I started the repair process with One Plus directly, and they told me today that they haven't even inspected it. On top of that, I called several phone repair shops here in Southern California, and they estimate they might have repair parts in a year.Which ultimately leads me to this:The fact that getting a device repaired is such a pain makes it completely impractical. I would rather have inferior hardware and software, but I know that if an accident happens or my device breaks, I can get it repaired or replaced quickly.",0.0387,0.044430026912725865,0.006537836752365855,0.08637865469280293,0.26017987728118896,0.0951913595199585,-0.24495195418358343,-0.013781087165137757,Positive,Positive,Positive,Positive,Negative,Negative,Negative,Neutral,50,40
"This is probably the fastest handheld device I've ever owned.There are some features that I miss from my Motorola Action One, but this 1+ N30 is truly an upgrade. From Power ON to opening an App, it's quick...real quick. The battery lasts real long, and it charge 100% in about 30 minutes when using the original charger. I wonder why it didn't come with headphones, but I don't need them anyways.Some Issues: it doesn't read 1TB SD card;  it doesn't take 3 cards, but 2 that can be either Sim + SD, or Sim + Sim. I didn't know this in advance.Never settle for what? 💕",0.9253,0.03361111111111112,0.09143752344430478,0.010789418567244552,0.4381202459335327,0.32973504066467285,0.7974020927052795,0.371708029165588,Positive,Positive,Positive,Positive,Negative,Negative,Positive,Positive,33,22
The GoodBrilliantly quickFluid display.As bright as advertisedThe ultravooc charging is exactly as advertised.. super fast. Smart charging at night is a plus too!!You can very easily adapt this phone to whatever use case.Great heat management as well is really good. Even when gaming. I've only noticed it when it's charging.Comes with an applied screen protectorQuite loud as well so the sound is very goodBattery life goes without saying. On basic use by the end of the day I have about 60%. Of battery .. Heavy use days it gets to about 15% but always lasts through the dayMore than 8 hrs straight of video useThe badThe phone is quite slippery out of the box. Looks fantastic but is unrealistically slippery. You'll need to buy a coverIts hanged on 2 apps over the 3 months I've had it : Gmail and YouTube but you can still switch around apps and kill them very quickly. Problem disappeared once the app was restartedCamera at night (in the dark)  isn't great but if you're not too serious about taking photos at night you won't notice it. During the day though the picture quality is 🔥Not much else is bad about this phone. Feels like a significant upgrade from my previous phone. A Samsung Galaxy S21,-0.5736,0.03860858859611898,0.0020222028876233367,0.009587942718316672,0.40712201595306396,0.1913304328918457,0.7724768557690699,0.04981911799422576,Negative,Positive,Positive,Positive,Negative,Negative,Positive,Neutral,65,26
